iter	Passed	Remaining
0	143	143477
1	146	72890
2	148	49231
3	150	37443
4	152	30355
5	154	25610
6	156	22232
7	158	19690
8	160	17713
9	163	16149
10	165	14859
11	167	13788
12	169	12878
13	171	12103
14	174	11428
15	176	10828
16	178	10303
17	180	9837
18	182	9419
19	184	9056
20	186	8712
21	188	8399
22	191	8116
23	193	7860
24	195	7615
25	197	7392
26	199	7185
27	201	6993
28	203	6810
29	205	6644
30	207	6485
31	209	6339
32	211	6205
33	213	6078
34	216	5959
35	218	5842
36	220	5731
37	222	5630
38	224	5531
39	226	5435
40	228	5344
41	230	5261
42	232	5180
43	234	5103
44	236	5028
45	239	4958
46	241	4894
47	243	4830
48	245	4769
49	247	4710
50	250	4654
51	252	4594
52	253	4538
53	256	4488
54	258	4438
55	260	4389
56	262	4342
57	264	4295
58	266	4253
59	269	4215
60	271	4174
61	273	4135
62	275	4095
63	277	4058
64	279	4023
65	281	3989
66	286	3986
67	287	3939
68	289	3907
69	292	3883
70	294	3852
71	296	3827
72	299	3805
73	301	3778
74	304	3750
75	306	3729
76	309	3704
77	311	3683
78	314	3664
79	316	3640
80	318	3618
81	321	3595
82	323	3570
83	325	3546
84	326	3517
85	329	3496
86	330	3466
87	332	3446
88	334	3427
89	337	3410
90	339	3392
91	341	3375
92	344	3355
93	346	3337
94	348	3317
95	351	3305
96	353	3292
97	355	3274
98	358	3261
99	360	3246
100	362	3229
101	363	3202
102	365	3186
103	368	3170
104	370	3157
105	372	3143
106	377	3153
107	380	3142
108	382	3128
109	384	3114
110	388	3109
111	390	3095
112	392	3081
113	394	3067
114	396	3052
115	398	3036
116	400	3025
117	403	3012
118	404	2996
119	406	2983
120	408	2970
121	410	2957
122	411	2937
123	414	2925
124	416	2915
125	418	2903
126	420	2891
127	421	2874
128	424	2862
129	426	2853
130	428	2845
131	431	2835
132	433	2825
133	435	2815
134	437	2804
135	439	2794
136	442	2786
137	444	2774
138	446	2765
139	448	2755
140	450	2746
141	454	2745
142	456	2735
143	458	2726
144	461	2719
145	463	2709
146	465	2701
147	467	2692
148	470	2684
149	472	2675
150	474	2666
151	476	2658
152	478	2649
153	480	2640
154	482	2632
155	485	2629
156	488	2620
157	490	2612
158	492	2604
159	494	2595
160	496	2588
161	499	2581
162	502	2579
163	505	2574
164	511	2586
165	513	2579
166	515	2572
167	517	2564
168	520	2557
169	522	2549
170	524	2543
171	526	2535
172	528	2528
173	531	2520
174	533	2513
175	535	2506
176	537	2499
177	539	2492
178	541	2485
179	544	2479
180	545	2467
181	547	2460
182	549	2453
183	551	2445
184	553	2438
185	555	2432
186	558	2426
187	560	2419
188	562	2411
189	564	2405
190	566	2398
191	568	2392
192	571	2389
193	573	2384
194	576	2378
195	578	2374
196	581	2369
197	583	2364
198	586	2358
199	592	2369
200	595	2368
201	599	2366
202	601	2362
203	606	2366
204	608	2360
205	610	2354
206	612	2348
207	619	2359
208	622	2354
209	624	2350
210	627	2344
211	629	2339
212	631	2334
213	634	2331
214	637	2326
215	639	2321
216	641	2316
217	644	2311
218	646	2305
219	649	2301
220	651	2296
221	653	2291
222	656	2285
223	658	2280
224	660	2275
225	662	2270
226	665	2265
227	667	2260
228	669	2255
229	671	2249
230	673	2243
231	676	2238
232	678	2233
233	680	2227
234	682	2222
235	684	2216
236	687	2212
237	689	2207
238	691	2201
239	693	2197
240	696	2192
241	698	2187
242	700	2181
243	702	2176
244	704	2171
245	706	2165
246	708	2160
247	711	2156
248	713	2150
249	715	2145
250	717	2140
251	719	2134
252	721	2129
253	723	2124
254	725	2120
255	727	2114
256	729	2110
257	731	2104
258	734	2100
259	735	2094
260	738	2089
261	740	2085
262	743	2084
263	746	2080
264	748	2076
265	750	2071
266	753	2067
267	755	2063
268	757	2058
269	759	2054
270	762	2050
271	764	2045
272	766	2041
273	769	2037
274	771	2034
275	773	2029
276	775	2024
277	777	2019
278	779	2014
279	781	2009
280	783	2004
281	786	2001
282	788	1996
283	790	1991
284	792	1987
285	793	1982
286	795	1977
287	797	1972
288	801	1972
289	803	1967
290	805	1963
291	807	1958
292	809	1953
293	811	1948
294	813	1944
295	815	1939
296	817	1934
297	819	1929
298	821	1925
299	822	1920
300	824	1915
301	826	1910
302	828	1905
303	830	1901
304	832	1896
305	834	1892
306	836	1887
307	837	1882
308	840	1878
309	842	1874
310	844	1869
311	846	1865
312	848	1861
313	849	1856
314	851	1852
315	853	1848
316	855	1843
317	857	1839
318	859	1835
319	861	1831
320	863	1826
321	865	1822
322	867	1817
323	869	1813
324	871	1810
325	874	1807
326	876	1804
327	878	1800
328	881	1797
329	885	1797
330	887	1794
331	889	1789
332	892	1786
333	894	1782
334	896	1778
335	898	1774
336	900	1770
337	902	1766
338	903	1762
339	906	1759
340	908	1755
341	910	1751
342	912	1747
343	914	1743
344	916	1739
345	918	1735
346	919	1731
347	921	1727
348	923	1722
349	925	1718
350	927	1714
351	929	1710
352	931	1706
353	933	1702
354	935	1698
355	937	1695
356	939	1691
357	941	1687
358	943	1683
359	945	1680
360	946	1676
361	948	1672
362	950	1668
363	952	1664
364	954	1660
365	956	1656
366	958	1653
367	960	1649
368	962	1645
369	964	1642
370	966	1639
371	968	1635
372	970	1632
373	972	1628
374	974	1624
375	976	1620
376	978	1617
377	980	1613
378	982	1609
379	984	1606
380	986	1602
381	988	1598
382	990	1595
383	991	1591
384	993	1587
385	995	1584
386	997	1580
387	999	1576
388	1001	1573
389	1003	1569
390	1005	1565
391	1007	1562
392	1009	1558
393	1011	1555
394	1013	1551
395	1015	1548
396	1016	1544
397	1018	1540
398	1020	1537
399	1022	1533
400	1024	1530
401	1026	1526
402	1028	1523
403	1030	1519
404	1032	1516
405	1033	1512
406	1035	1509
407	1037	1506
408	1039	1502
409	1041	1498
410	1043	1495
411	1045	1491
412	1047	1488
413	1049	1485
414	1051	1481
415	1052	1478
416	1054	1474
417	1056	1471
418	1058	1467
419	1060	1464
420	1062	1461
421	1064	1457
422	1066	1454
423	1068	1451
424	1070	1447
425	1072	1444
426	1073	1441
427	1075	1437
428	1077	1434
429	1079	1430
430	1081	1427
431	1083	1424
432	1085	1421
433	1087	1417
434	1089	1414
435	1091	1411
436	1093	1408
437	1095	1405
438	1097	1401
439	1099	1398
440	1100	1395
441	1102	1392
442	1104	1389
443	1106	1385
444	1108	1382
445	1110	1379
446	1112	1376
447	1114	1373
448	1116	1369
449	1118	1366
450	1120	1363
451	1122	1361
452	1124	1358
453	1127	1355
454	1129	1352
455	1131	1349
456	1133	1346
457	1135	1343
458	1137	1340
459	1139	1337
460	1141	1335
461	1144	1332
462	1146	1329
463	1148	1326
464	1150	1323
465	1152	1320
466	1154	1318
467	1156	1315
468	1159	1312
469	1161	1309
470	1163	1306
471	1165	1304
472	1168	1301
473	1170	1299
474	1173	1296
475	1175	1294
476	1178	1291
477	1180	1289
478	1182	1286
479	1185	1283
480	1187	1281
481	1189	1278
482	1192	1276
483	1195	1274
484	1197	1271
485	1199	1269
486	1202	1266
487	1204	1264
488	1207	1261
489	1209	1258
490	1211	1256
491	1214	1253
492	1216	1250
493	1218	1248
494	1221	1246
495	1224	1243
496	1226	1241
497	1228	1238
498	1230	1235
499	1232	1232
500	1235	1230
501	1237	1227
502	1239	1224
503	1241	1221
504	1243	1219
505	1245	1216
506	1248	1213
507	1250	1211
508	1253	1209
509	1256	1207
510	1258	1204
511	1260	1201
512	1262	1198
513	1264	1196
514	1266	1193
515	1269	1190
516	1271	1187
517	1273	1185
518	1275	1182
519	1277	1179
520	1279	1176
521	1282	1173
